,Precision,Recall,F1 Score,Support
1,0.95,0.95,0.95,20.0
2,1.0,1.0,1.0,20.0
3,1.0,1.0,1.0,20.0
4,1.0,1.0,1.0,20.0
5,1.0,1.0,1.0,20.0
6,1.0,1.0,1.0,20.0
7,1.0,1.0,1.0,20.0
8,1.0,1.0,1.0,20.0
9,1.0,1.0,1.0,20.0
10,1.0,1.0,1.0,20.0
11,1.0,1.0,1.0,20.0
12,1.0,1.0,1.0,20.0
13,1.0,1.0,1.0,20.0
14,1.0,1.0,1.0,20.0
15,1.0,1.0,1.0,20.0
16,1.0,1.0,1.0,20.0
17,1.0,1.0,1.0,20.0
18,1.0,1.0,1.0,20.0
19,1.0,1.0,1.0,20.0
20,1.0,1.0,1.0,20.0
21,0.95,0.95,0.95,20.0
22,1.0,1.0,1.0,20.0
accuracy,0.9954545454545455,0.9954545454545455,0.9954545454545455,0.9954545454545455
macro avg,0.9954545454545454,0.9954545454545454,0.9954545454545454,440.0
weighted avg,0.9954545454545455,0.9954545454545455,0.9954545454545455,440.0
